center,ecenter,sigma,esigma,amplitude,eamplitude,relative_power,noise_on_block,value_on_line,base_on_line,snr_peak,snr_amplitude,area,earea,snr_area,ew,cluster_probability
0.7745662014649468,0.02390022105570207,0.009510833731267264,0.016882017038906922,0.002354497201847963,0.003904951906336628,1.3468171051055011,0.0031215692781531783,0.001822376943463333,-0.0002693143383725898,0.754267162457775,0.6029516517289963,5.6131507006419495e-05,0.0001363589035290979,0.4116453385417659,-208.42375992904962,0.0
0.8227314588197837,0.00043054489374740653,0.0004207797650188093,0.00023682346616519647,0.003218111110068891,0.00010233536076232316,0.8502290887703569,0.004834024769018066,0.0030098959723504,0.00024364272793102936,0.6657208566025997,31.446716815149042,3.394265544721503e-06,1.9134089739808896e-06,1.7739362524571307,13.931323021807387,1.0
0.9142414850191544,173.06544957556707,0.0018825553024115701,577.6525070290579,0.049600368169065004,125243.88883138343,0.38959918515609904,0.003669081200813736,0.002172743998813748,0.0009544080922687971,13.518471097904438,3.960302465203892e-07,0.000234057508279847,595.3569195386698,3.9313813377900015e-07,245.2383945356654,1.0
0.9870317675954274,0.010846027705767645,0.012037864718075466,0.016313515455234177,0.0012803717649040622,0.0008010780388686278,0.3553124261479953,0.0026925256038215916,0.0021879698205081424,0.001040761471695363,0.47552816696962424,1.5983109045310326,3.863451644997232e-05,5.766741387568007e-05,0.6699540321551607,37.12139380701525,0.0
1.197446608904073,0.0008796885887233649,0.003741327109971783,0.0007609385192427367,0.006272155223159901,0.0011413961312958458,0.7307070627720837,0.004410844214331553,0.007427149116795799,0.0011556425948179385,1.4219852069997494,5.495160751981015,5.8821001250473085e-05,1.6053123677037982e-05,3.664146768806702,50.898955710212306,1.0
1.290483799086567,245.10488238737565,0.0013141795647527714,332.8617936050017,0.0350011542379658,30880.63609615674,0.8364400778876703,0.005504967587812958,0.0118444022612412,0.0010549048317133334,6.358103600001619,1.1334337197258018e-06,0.00011529939016744369,105.83466824937909,1.0894293153143617e-06,109.29838095459202,1.0
1.4110222434404314,97.99049376894787,0.002416746587943951,115.82855154248261,0.008286092657899239,353.90409194684446,0.8612082111542292,0.004148394465611018,0.007427149116796099,0.0005538484656185507,1.9974215872160985,2.341338471764206e-05,5.0196199154963e-05,3.222439166059445,1.5577082007833633e-05,90.63164795248234,0.11
1.5008018794410292,0.0033183647226722145,0.006566585412851773,0.003294120929995481,0.003159814400107169,0.0011714083184544922,0.538150724436986,0.0053860499953827775,0.0032050776005108,0.0009623652249430768,0.5866663701257765,2.6974491732106682,5.201050920495064e-05,3.244244793379117e-05,1.6031622925339708,54.04446031186031,0.0
1.529534542039534,20.95592087677727,0.001276403535455586,28.734344540408348,0.006390851485126774,532.7906445349182,0.42457873759491815,0.004530378501913978,0.0030098959723504,0.0012157686299894253,1.4106661247899686,1.1995051997779454e-05,2.0447332436108727e-05,1.7657030068374522,1.1580278425606756e-05,16.81844055828828,0.11
1.703847566650873,38.54913045244273,0.00140652110967558,52.19043756574036,0.33292029880161866,107000.88965228327,0.7582487940253526,0.005429890990384296,0.0132517594333362,0.0018220566026725467,61.3125197892889,3.1113787921156277e-06,0.0011737523223479742,379.7508873305561,3.090848136258008e-06,644.1909217454298,1.0
1.7201596708376468,58.95938593330138,0.0012539006799186922,231.53909280521313,0.07341865502017755,53672.2085153569,0.7817055655251576,0.005980265137690367,0.0146591166054312,0.0017960338852846163,12.276822737751141,1.3679082163941647e-06,0.00023075945060494,173.99349002581482,1.3262533590808656e-06,128.48279339026598,1.0
1.7520605889925576,0.0003206658336841953,0.0028093608599440802,0.00020175736554720793,0.031543618286921815,0.00194286086417281,0.8927726560481962,0.006498079798400542,0.0330318077692604,0.0018712828514858679,4.854298387453793,16.235654785476257,0.00022213089699874347,2.1016013918793876e-05,10.569601726429182,118.70514220892011,1.0
1.8275447637485769,0.005655679919987636,0.002951447756558574,0.002463616194913087,0.023192062649666164,0.007959951786323064,0.8713801882272864,0.006056370156018538,0.0249009800664171,0.0017114423831389154,3.829366774522356,2.913593357376259,0.00017157910966079007,0.00015485405926597822,1.10800524360866,100.25409639914429,0.16
1.9636550125697418,0.004676739922368155,0.009028088984633848,0.0017232384593103226,0.018480141705913666,0.0015262831921400634,0.9953127640468713,0.004128946329914952,0.01837269116383,4.3159719183157334e-05,4.475752463048925,12.10793763639755,0.00041820677317468044,8.697748936718343e-05,4.808218496732899,9689.747317398711,1.0
2.037138334665791,23.383722696696296,0.0015282591126957721,49.397840827179564,0.4432839108644067,152571.8525683429,0.7624292487362538,0.0033000282414859727,0.0051208096407606,0.0006902714502193254,134.32730826109537,2.9054108172793044e-06,0.0016981220331128309,587.0404830325729,2.8926830128316856e-06,2460.0786148308366,1.0
2.2225426947225393,0.04386603043221204,0.021975439720187468,0.0504379077940711,0.0003257251527690351,0.0005343839254229835,0.09822880849514673,0.0022658319985170055,0.0009653903088256773,0.000792695622554156,0.14375520911622014,0.6095339647636525,1.7942328531390926e-05,5.061987962028531e-05,0.35445221652010317,22.634575013267632,0.0
2.355655713323048,0.010179136960113714,0.010354737733824879,0.008609799197597452,0.0015371378234745638,0.001262110861395281,0.40526584697496865,0.0035252117050042424,0.002276011861343773,0.0009632497577202737,0.4360412798166157,1.2179103044682118,3.989714754426503e-05,4.662226518529145e-05,0.8557530910542698,41.41931749735368,0.0
2.4192472360437445,51.158051573986725,0.0034587213403768123,29.34671615944337,0.006552871608190575,140.32831606147664,0.6982178598508425,0.003787699240174109,0.005121053826047,0.0009100378814642978,1.7300401094912063,4.6696716615054496e-05,5.6811619087332684e-05,1.3086239039968484,4.341325182416163e-05,62.42775190404148,0.11
2.7069119884400945,78.30928427369606,0.0024279313251650537,66.79967578540513,0.13142392668800393,28909.856846306968,0.8313245291534053,0.0038320744300990367,0.010242107652094,0.0009433567361635826,34.29576567086861,4.545990227025023e-06,0.0007998356758800296,177.31395326507948,4.510844528316942e-06,847.8613076244936,1.0
2.747690944906798,0.0032576939601728127,0.004656416656423397,0.0020116436434370016,0.0031614877479226138,0.0009018646971552045,0.5565761065052967,0.003129530279648135,0.0044171478313336,0.0012583187428651217,1.0102115862186423,3.5055011665220377,3.6900586705656384e-05,1.9103456801092585e-05,1.9316182976656837,29.325309596546106,0.0
3.0329352765064295,10633.396056772006,0.005294459579368079,3898.1550102040433,0.0030565394432631753,489.47314982830017,0.5263453245376942,0.002849909946491783,0.004417147831334,0.001370726983524012,1.0725038687716262,6.244549766080863e-06,4.056407488024921e-05,30.56440796304771,1.3271670411313405e-06,29.593110347884693,0.0
3.165028196552685,14.142893823172452,0.0027219675478452193,683.1676943839518,0.0054732242540027525,1158.6257631721633,0.5476016275915603,0.003686941776682085,0.0051208096407606,0.001496926538193682,1.4844889302613724,4.7238931050676725e-06,3.734359463349914e-05,12.261276679501456,3.0456530432863157e-06,24.946845206285857,0.11
3.5859680340032236,0.004702140155013348,0.004250300248769884,0.0020490353110550565,0.008383705678561709,0.0030339874326760653,0.7001946664537394,0.003419793053388874,0.0095384122886256,0.001681964385676985,2.4515242728661026,2.763263152730674,8.931935290325359e-05,5.384243465626691e-05,1.6589025639994421,53.10418797440997,0.11
3.680320107556787,178.62276695688882,0.001877911385262202,523.9531898004154,0.023832691454209437,11591.495479733261,0.7076684228952884,0.005692157517440604,0.0146594661146727,0.002509518119184737,4.186934634395968,2.0560497561232593e-06,0.00011218585951397784,62.9042701080183,1.7834379020904926e-06,44.704144057116224,1.0
3.697744639237374,0.7501788418007703,0.0024326422465992138,0.4045824497870235,0.018122070953900286,0.5925767814310647,0.7861479196247346,0.005692157517440604,0.0204832385630444,0.0024524190473822643,3.1836910518331214,0.03058181069824527,0.00011050349277085053,0.01873012392818254,0.005899773711832196,45.058976722923035,0.16
3.7816233865580786,0.014221821941311644,0.003524010249014374,0.0073746784229311016,0.011888258462242075,0.010682764931643282,0.7077397260055017,0.00460735823211839,0.0139551053034287,0.0023882579045824744,2.5802765626878643,1.1128447118618154,0.00010501354888160025,0.00023916476525044612,0.43908453141763265,43.970774127913614,0.16
3.91152998379432,6202.324174325491,0.0038339270263419395,2519.039197596124,0.008715476543722987,3200.6827387174817,0.7009113884179311,0.0037826869779083445,0.010242107652094,0.0018009743354050576,2.3040438171657156,2.723005450773072e-06,8.375773316081139e-05,63.04494551454,1.3285400197783408e-06,46.50689991202646,0.11
4.0076718658420045,0.0009411853228080466,0.003005046278780352,0.00042963898600725017,0.01866336124927382,0.0011478171463440293,0.8343017678577755,0.00431977711124776,0.0204832385630425,0.0018503151869102594,4.320445423139654,16.25987319384402,0.00014058240258522947,2.188011482336697e-05,6.425121793012431,75.97754349083648,1.0
4.069963003350913,376.0835386327321,0.0029274036043275137,185.4228379529367,0.019438582399377548,3088.9444345615652,0.8362645714648641,0.0040924674563605976,0.0146601651831569,0.0013072127328281377,4.749844099350308,6.292953081927677e-06,0.0001426386196060628,24.400680355209115,5.845682068271181e-06,109.11660820306273,1.0
4.331458618018709,0.057946917873690856,0.006411206491747791,0.021229819360647096,0.011575191447855914,0.06511549351553193,0.6453512376403884,0.004183465263010032,0.0095379574720946,0.0020558679116855372,2.76689077598017,0.17776401318520138,0.0001860192468921648,0.0012142745576995395,0.15319372847981014,90.48210044761768,0.11
4.464716792306462,254.9754701404821,0.002412933049814332,318.18151897480743,0.005071835894254088,1507.9649678753224,0.4187598406250262,0.0036257471299588166,0.0044175691139121,0.0018097978969358617,1.3988388358213213,3.363364535848703e-06,3.0676117959134135e-05,9.977444958756202,3.074546448107718e-06,16.950024094442455,0.11
4.6145478760583725,274.00068725800116,0.0025581675846739183,288.51373772123065,0.01688145183268593,4621.644087995352,0.734654919367693,0.0037922917839442816,0.0102416192815212,0.0015666304944681577,4.451517128549611,3.6526940437787577e-06,0.0001082502030548281,32.05192381017837,3.3773387112711244e-06,69.09746965673425,1.0
4.7618157842162745,0.02595713246559305,0.008705728218286062,0.025079723612645242,0.00038217212428981446,0.0010136633418803833,0.08614575099276256,0.0030331768899866164,0.0021881282694436906,0.001841033134435467,0.1259973084825596,0.37702076073982405,8.339769460695692e-06,3.2657698987747466e-05,0.2553691692677004,4.529939904233713,0.0
4.864535469755861,516.0471239968093,0.0034674142680160107,1535.8921235276223,0.003763020988847379,3143.029811290028,0.3056481576159274,0.004197908823302799,0.003840607230570468,0.002042458905077127,0.8964036969928131,1.1972590827265749e-06,3.2706367082585765e-05,30.921490182290686,1.0577228616658751e-06,16.013231405187422,0.0
