# Plot Type : plot_unfold 
# 
# X-axis    : \frEnergy (keV) 
# Y-Axis    : \frPhotons cm\u-2\d s\u-1\d keV\u-1\d 
# Residual  : NONE 
# 
# Index-   2,  Model Plotted-       no,  Data File: heg_p1.pha/part=1/order=1,   Scale: 1.0000e+00 
# 
# Background included in data and model-    no 
# 
# XAXIS_COLS   :   1 set  (X 2 columns - bin_lo, bin_hi)
# DATA_COLS    :   1 set  (X 2 columns - Data, Error)
# 
#         X_LO          X_HI    DATA_VALUE    DATA_ERROR
0.7767215967178345  0.776843249797821           0.0  4.1169055999281414e+07
0.776843249797821  0.7769649624824524           0.0  1.0850648229276637e+07
0.7769649624824524  0.7770867347717285           0.0  3.7609697651112373e+06
0.7770867347717285  0.7772085070610046           0.0  2.0028364766562732e+06
0.7772085070610046  0.7773303389549255           0.0  1.2738143822866906e+06
0.7773303389549255  0.7774521708488464           0.0  893945.9748522574
0.7774521708488464  0.7775740623474121           0.0  663548.8080210316
0.7775740623474121  0.7776960134506226           0.0  515795.136073011
0.7776960134506226  0.777817964553833           0.0  414746.27433299745
0.777817964553833  0.7779399752616882           0.0  339351.8939378699
0.7779399752616882  0.7780620455741882           0.0  283329.78893353895
0.7780620455741882  0.7781841158866882           0.0  239687.78251131863
0.7781841158866882  0.778306245803833           0.0  205431.63245942956
0.778306245803833  0.7784284353256226           0.0  177866.98626518442
0.7784284353256226  0.7785506248474121           0.0  155324.15788226092
0.7785506248474121  0.7786728739738464           0.0  136704.02434407716
0.7786728739738464  0.7787951231002808           0.0  120958.68364132305
0.7787951231002808  0.7789174318313599           0.0  107633.88409694182
0.7789174318313599  0.7790398001670837           0.0  96145.05260426398
0.7790398001670837  0.7791622281074524           0.0  86272.26073119945
0.7791622281074524  0.779284656047821           0.0  77628.60806975886
0.779284656047821  0.7794070839881897           0.0  70067.01930424808
0.7794070839881897  0.7795296311378479           0.0  63403.01211235796
0.7795296311378479  0.7796521782875061           0.0  57470.85194532266
0.7796521782875061  0.7797747254371643           0.0  52190.82988221849
0.7797747254371643  0.7798973917961121           0.0  47446.41743911645
0.7798973917961121  0.7800200581550598           0.0  43165.217127164135
0.7800200581550598  0.7801427245140076           0.0  39288.20781297162
0.7801427245140076  0.7802655100822449           0.0  35781.69267689088
0.7802655100822449  0.7803882360458374           0.0  32592.251750265004
0.7803882360458374  0.7805110812187195           0.0  29679.965287114075
0.7805110812187195  0.7806339263916016           0.0  27014.599541450534
0.7806339263916016  0.7807568311691284           0.0  24566.41508452842
0.7807568311691284  0.7808797955513           0.0  22315.852031145016
0.7808797955513  0.7810027599334717           0.0  20238.34206115819
0.7810027599334717  0.7811257839202881           0.0  18319.542740102897
0.7811257839202881  0.7812488079071045           0.0  16546.328114152897
0.7812488079071045  0.7813718914985657           0.0  14905.555177467488
0.7813718914985657  0.7814950346946716           0.0  13384.916078034494
0.7814950346946716  0.7816181778907776           0.0  11973.860219568549
0.7816181778907776  0.7817413806915283           0.0  10663.03851801865
0.7817413806915283  0.7818646430969238           0.0  9439.621726380054
0.7818646430969238  0.7819879055023193           0.0  8291.593205262965
0.7819879055023193  0.7821112275123596           0.0  7200.974264528414
0.7821112275123596  0.7822346091270447           0.0  6124.6427265783295
0.7822346091270447  0.7823579907417297           0.0  4891.159317351268
0.7823579907417297  0.7824814319610596           0.0  3105.56306843009
0.7824814319610596  0.7826049327850342           0.0  1244.17333703159
0.7826049327850342  0.7827284336090088           0.0  412.7470560089161
0.7827284336090088  0.7828519940376282           0.0  142.1968930417498
0.7828519940376282  0.7829756140708923           0.0  58.212503412662834
0.7829756140708923  0.7830992341041565           0.0  28.33884083283285
0.7830992341041565  0.7832229137420654           0.0  16.38229083304332
0.7832229137420654  0.7833465933799744           0.0  11.054638160426677
0.7833465933799744  0.7834703922271729           0.0  8.42659804773584
0.7834703922271729  0.7835941314697266           0.0  6.997892523112193
0.7835941314697266  0.7837179899215698           0.0  6.118413250200792
0.7837179899215698  0.7838418483734131           0.0  5.514785308534961
0.7838418483734131  0.7839657664299011           0.0  5.059469803606462
0.7839657664299011  0.7840896844863892           0.0  4.690404379240032
0.7840896844863892  0.7842137217521667           0.0  4.378252187668742
0.7842137217521667  0.7843376994132996           0.0  4.113112702391012
0.7843376994132996  0.7844617962837219           0.0  3.8915042543008247
0.7844617962837219  0.7845858931541443           0.0  3.7037287063461193
0.7845858931541443  0.7847100496292114           0.0  3.5416984087824854
0.7847100496292114  0.7848342061042786           0.0  3.3967684152043907
0.7848342061042786  0.7849584221839905           0.0  3.2636194518006554
0.7849584221839905  0.7850826978683472           0.0  3.139355355594328
0.7850826978683472  0.7852069735527039           0.0  3.02383661603877
0.7852069735527039  0.7853313684463501           0.0  2.917431143248945
0.7853313684463501  0.7854557037353516           0.0  2.818858921906343
0.7854557037353516  0.7855801582336426           0.0  2.727587459017468
0.7855801582336426  0.7857046127319336           0.0  2.641676736230057
0.7857046127319336  0.7858290672302246           0.0  2.5599552055764234
0.7858290672302246  0.7859536409378052           0.0  2.4809065975723845
0.7859536409378052  0.7860782146453857           0.0  2.4035939072193693
0.7860782146453857  0.7862028479576111           0.0  2.328588241060329
0.7862028479576111  0.7863274812698364           0.0  2.258063619356629
0.7863274812698364  0.7864521741867065           0.0  2.1945870297070282
0.7864521741867065  0.7865769267082214           0.0  2.1381311406290875
0.7865769267082214  0.7867016792297363           0.0  2.086667857915805
0.7867016792297363  0.786826491355896           0.0  2.037836220808572
0.786826491355896  0.7869513630867004           0.0  1.9907789180723572
0.7869513630867004  0.7870762348175049           0.0  1.9450579925884965
0.7870762348175049  0.7872011661529541           0.0  1.9002144856466392
