center,sigma,amplitude,ecenter,esigma,eamplitude,base_on_line,value_on_line,noise_on_block,snr,relative_power,area,earea,ew,cluster_probability
0.906850007509733,0.10665272089512016,0.2830683194857968,0.42462397591059303,0.6326534912146522,0.9735241115813361,0.6612337650844441,1.0381144757306988,1.0883435835276958,0.2600909526826768,0.22177956324330125,0.07567512383493402,0.5188877756222047,133.35376156106278,0.78
0.9032871241772857,0.002769339702944326,45.01375172569521,0.03283793200066618,0.09751846819937006,15778.111866360277,0.7949563651687239,1.587763346741728,1.2365797576548556,36.40181835991132,0.33273195231903113,0.3124721944914183,110.07831794930712,,1.0
1.1787846803383328,0.006123587298915296,35.38048623457378,0.02473884730295167,0.058306858572817186,2731.429782977701,1.1053160160900737,2.175526693483456,1.3174924802585912,26.854412275377438,0.32619993462975155,0.5430747924674102,42.24391641377603,,1.0
1.2806681205580672,0.016855864693025448,1.73300759253287,0.020745591557942974,0.016228474764629568,1.2937431735826947,1.2554472777482597,2.7251755644944855,1.4449342452510376,1.1993677900766921,0.3692206835446279,0.07322197452304664,0.08920623183090161,55.87152881629447,0.78
1.5079004941858583,0.003439805542715113,68.35197763452796,488.71279803415274,2098.6510753904154,351882039.72790265,1.4095348024583587,2.801404515955883,1.7833649124150628,38.327533057698524,0.33053663523740245,0.5893522022439022,3055269.561557026,,1.0
1.7097935832660796,0.0020157038037586237,5.0000823053992445,26240710.277833395,84378633.66433561,18617.142301732754,1.445366786083668,2.8625877822472425,1.486764891181803,3.363061863415922,0.3289777024535028,0.025263516596831608,1057546752.663762,42.769699382902765,0.78
1.7443887049978086,0.010696878727774877,10.986038828523217,41.039235612867245,13.017762054483002,24273.172625767274,1.5086472213689284,2.8625877822472425,1.9945002539476662,5.5081661718412,0.3097386802032483,0.2945697430943867,743.0348145785307,94.74002822470489,1.0
1.8379822398147998,0.003925750757931427,73.9927701009396,551.3260153620098,3081.9736800628943,316254138.43197757,1.6419592741574756,7.587763346741728,1.8318881826430384,40.39153197341075,0.6442018158943312,0.7281182957417272,3164128.4258599603,,1.0
1.9644135311939783,0.0013132951876443674,6.112049603193465,25.418301947066013,17.409349112725078,8888.368958001729,1.4732769873194589,3.587763346741728,1.358746379679749,4.498300561900338,0.4177967808696593,0.020120517991827312,268.32244918415216,71.76134839792738,1.0
2.3466148624423586,0.003938651878503011,33.607600357460704,14895.46127516508,10238.7914452329,666556085.5824594,1.2285746348440054,4.725175564494485,1.429909335118304,23.503308588918447,0.5872938589259221,0.33179897138677833,6637017.638332585,,1.0
