center,sigma,amplitude,ecenter,esigma,eamplitude,base_on_line,value_on_line,noise_on_block,snr_peak,snr_area,relative_power,area,earea,ew,cluster_probability
,,,,,,0.478168144010695,1.461711481293133,6.067367424275694,,,0.5070125612193042,,,,0.1
,,,,,,0.6013744146984256,1.287315261787747,4.953840684450739,,,0.3631834576262869,,,,0.1
,,,,,,0.6993950054499342,1.1982938488538255,4.360716449252234,,,0.26289812593483963,,,,0.1
,,,,,,0.9099053927675788,1.597565790984957,3.741617056845721,,,0.27424458660707945,,,,0.1
,,,,,,2.0673305315821002,3.171638887072257,2.444976249421833,,,0.21078732614052964,,,,0.1
,,,,,,2.3641327346809775,3.4617597346177136,2.2365411690986137,,,0.18840495352789546,,,,0.1
,,,,,,2.747304640510648,3.5824276965888964,2.0468357685511087,,,0.13193655143732738,,,,0.1
,,,,,,4.058740664322139,5.49871086632027,1.6752482599094065,,,0.1506646617439181,,,,0.1
,,,,,,5.7309071325611285,7.08612461475294,1.4457921465113288,,,0.10573567335321692,,,,0.1
,,,,,,6.092958496305219,8.279494423133901,1.456241515831976,,,0.15213380340048532,,,,0.79
,,,,,,6.016590668673947,7.03334883056196,1.3642775881416374,,,0.07791286403646126,,,,0.79
,,,,,,5.722010379027852,7.030492021207712,1.2211545807278947,,,0.1026058730367845,,,,0.1
,,,,,,6.403145361015401,6.8422264703129505,1.1373752287148184,,,0.033149776003948916,,,,0.1
,,,,,,6.7038999095301905,9.354858144424472,1.1161098877944458,,,0.16507865838612915,,,,0.79
,,,,,,6.888551523505346,8.922871567758019,1.2015689028847871,,,0.12866141349267549,,,,0.79
,,,,,,5.641358524687879,6.67792560024348,0.9041750370396897,,,0.0841418271584329,,,,0.1
,,,,,,5.422072270128949,7.871369172298293,0.8705060765262426,,,0.18424851930006528,,,,0.1
,,,,,,4.780564971184899,5.840074153008006,0.8029173662971963,,,0.09975945603966864,,,,0.1
,,,,,,4.211368128679408,5.617942428140735,0.7250730136971869,,,0.14309999580645708,,,,0.79
,,,,,,3.2741568148369886,5.219631057986665,0.6441268454226587,,,0.22904671888196426,,,,0.1
,,,,,,2.146263333450064,2.29119431017153,0.44787063459490534,,,0.032660813547097246,,,,0.79
,,,,,,2.216193955586275,3.0646860668323193,0.48681515142275433,,,0.1606724840640183,,,,0.79
,,,,,,2.318721587573374,2.7593660458853826,0.4429599476797807,,,0.08677370106980203,,,,0.1
,,,,,,2.402823145021395,2.7678587749855765,0.452566513097031,,,0.07059719309976223,,,,0.79
,,,,,,2.4455789105191816,3.5772121875642178,0.4576603142501825,,,0.18789183596375272,,,,0.1
,,,,,,2.4753622161662143,3.1207339456439422,0.44950845253053257,,,0.11532534660179446,,,,0.1
,,,,,,2.4214817382200935,3.173423566405054,0.42988643936656784,,,0.13439759696439402,,,,0.1
,,,,,,2.25288197311446,3.297722056724713,0.4076663913948576,,,0.1882389876837471,,,,0.1
,,,,,,2.090124427583846,2.7988877990186993,0.35764209343845793,,,0.14497066863082578,,,,0.1
,,,,,,2.331454398259301,2.858338468013703,0.36345854654255866,,,0.10152314038937328,,,,0.1
,,,,,,2.3962063064906447,3.0307113542792536,0.36685634463963224,,,0.11691812690937231,,,,0.1
,,,,,,2.406647311727162,4.649907446061267,0.3945415061363878,,,0.3178973608697905,,,,0.79
,,,,,,2.551311060885582,2.880440538733705,0.3752791884650318,,,0.060593617328007346,,,,0.79
,,,,,,2.219057254671427,2.8555790248532134,0.31301981261319733,,,0.1254319984961389,,,,0.1
,,,,,,2.209241989467991,2.6702476482323885,0.3196815828883207,,,0.09447825346374986,,,,0.79
,,,,,,2.173606854709635,3.175984662624528,0.302948840826908,,,0.1873746443381537,,,,0.1
,,,,,,2.115014165272034,2.661143487232709,0.2909390958735233,,,0.11434491105507592,,,,0.79
,,,,,,1.9504638668603738,2.2207321394922106,0.26999059561253824,,,0.06479395171558176,,,,0.79
,,,,,,1.8467621333576727,2.2506741461581194,0.24982190645145827,,,0.09857676489557964,,,,0.1
,,,,,,1.8634403139392526,2.2025986069392385,0.2591266524622512,,,0.0834124561027834,,,,0.79
,,,,,,1.8709171668814664,2.0661458674811373,0.25901681271928234,,,0.04958739519680505,,,,0.79
,,,,,,1.8656912880379546,2.306810251871216,0.254444365603816,,,0.10572050354302898,,,,0.1
,,,,,,1.795469571541906,2.008766602574829,0.23212082995675445,,,0.056068293678545426,,,,0.79
,,,,,,1.8067851809909123,1.9959293766130162,0.23774101805716824,,,0.049739256722251234,,,,0.79
,,,,,,1.7855903915799285,2.17471046347711,0.23774101805716824,,,0.09825517962866417,,,,0.79
,,,,,,1.7396821462914664,2.1336336104523594,0.22655289696319952,,,0.10170910116867816,,,,0.1
,,,,,,1.715679680358877,2.308960565918682,0.22212972709246315,,,0.14741215344863137,,,,0.1
,,,,,,1.591818407830861,1.9118128804502117,0.20835471612169065,,,0.09133223398525595,,,,0.1
,,,,,,1.5225104363798263,1.9421808272536882,0.2039214579394606,,,0.12112778857927514,,,,0.79
,,,,,,1.3869942849131767,1.5848309825957,0.1818281915289513,,,0.06657077044383548,,,,0.79
,,,,,,1.3174292317186564,1.6161042421717269,0.18210822149013733,,,0.10181407954311651,,,,0.1
,,,,,,1.285676126846633,1.7144168490434706,0.17870038803096377,,,0.14290914503062482,,,,0.1
,,,,,,1.2595810295358527,1.3940719015299825,0.16968649966119695,,,0.050681409923532,,,,0.79
