center,sigma,amplitude,ecenter,esigma,eamplitude,base_on_line,value_on_line,noise_on_block,snr,relative_power,area,earea,ew,cluster_probability
1.9805195036871892,0.07251603773019087,0.20324441398430276,0.026799171501241965,0.03018424714679543,0.045236369600218714,0.295849003816553,0.4876497860111072,0.02179607234682945,9.324818286073802,0.24480035538630895,0.03694388967272595,0.017437973130081035,159.92227473648444,1.0
1.536669622721824,0.10925542679389998,0.1283271859074705,0.05113211991313433,0.054956148849326425,0.04389569464071173,0.21682190974069265,0.3393766830429956,0.02179607234682945,5.887628920727891,0.2203435515522166,0.035144035000433824,0.02137788061561756,208.49246027676398,1.0
1.7995806596495683,0.04778121632543857,0.31085505112823125,0.014195042223091979,0.013884853110908927,0.05879117007170811,0.2565972902954064,0.5823125983662875,0.02179607234682945,14.261975560631205,0.3882601844048972,0.03723103108767396,0.012908649079202496,162.1379920956761,1.0
2.6481931875648463,0.11211756794825241,0.03441229534861992,0.16635145650420485,0.19157474277473724,0.04181158952761004,0.3355807744761266,0.3773962145423676,0.021031048563060838,1.636261513325686,0.0586490738274813,0.009671130515727528,0.0202769038050276,40.493840894181425,0.78
2.8472642402130557,0.009050359416134855,0.0678355684136366,94022282.90478842,224501524.36607626,18324966.101832908,0.36938198200327577,0.4384448490026407,0.021031048563060838,3.2254962566528294,0.08549216781196405,0.0015389100265919354,38176178.07236611,13.45450725383632,0.71
3.34165452523852,0.005232226255071334,0.04824533746791974,92.88407038088265,189.0607030051453,24.022147547313875,0.4915220835256142,0.5352043308228224,0.030867674568888486,1.5629728556405798,0.04254516752150478,0.0006327494822820485,22.865872608294016,4.995103607148982,0.71
3.1532087920206435,0.06496120837761656,0.11324661654873476,0.029318925781536425,0.030390807972818464,0.04254732807735736,0.46216268173804154,0.5421369350137892,0.030867674568888486,3.6687770663124706,0.07963186676741496,0.01844035444997165,0.01106450914726646,37.34694635805501,0.77
3.5539926338919225,0.027759283906170017,0.05935792673575815,0.051910813591597715,0.03570979871015834,0.062310853156268095,0.5389468052472086,0.5963443141570274,0.03529009350888954,1.6819997011570949,0.05055752478706882,0.004130255481272956,0.006857740588289464,7.016721528224935,0.71
3.7247045224872437,0.03884547696327602,0.0754592296904726,0.03127518600925658,0.03277024983516314,0.053217693530234235,0.5719447984213238,0.6432409981035444,0.03529009350888954,2.138255305882499,0.05867102782645264,0.007347553549997906,0.008079131427769733,12.104751317873083,0.71
4.029158838704033,0.07516142817579276,0.0404870005312505,0.08193811748399071,0.08513197641618245,0.03738401082563932,0.6052931966263744,0.6209052768211945,0.0376890685273658,1.0742372288095454,0.012732098867261912,0.007627822198792291,0.011146799161690842,12.130679378088894,0.0
4.296042389655626,0.04587162456134971,0.10550936307353076,0.0236885961548493,0.024425106196209058,0.04503565765338032,0.6146167869774746,0.6973016766923873,0.04031299184730576,2.617254593089257,0.06302593644700771,0.012131794819406051,0.008279124314977494,19.065688638734336,0.71
4.55508024055978,0.022798950367452858,0.06361985562732349,0.08182911872933858,0.0887579463021029,0.23176024391821254,0.6054459025162395,0.6259282352656516,0.03738823683109495,1.7016008514852536,0.01663372010257372,0.003635778913612125,0.01938476021970432,5.940355878824849,0.0
4.7411796887664,0.01339205410390982,0.053865016905981625,442.05587228122926,605.3965615150709,8147.9493429096165,0.5774077372921649,0.5948901168404346,0.0355657413885149,1.5145197260916945,0.014912916104589453,0.0018081894453178958,285.470537330956,1.5125984630557463,0.71
5.3367136499368835,0.02209294152556111,0.06072827884128343,0.8292090652196891,0.9656039328655401,3.963620299623888,0.48581857630516806,0.5275605377498566,0.03373709638879116,1.800044619769348,0.04119086417486792,0.0033630587162594124,0.26416992535684963,6.878167134542846,0.71
4.949969658290124,0.04341686015383426,0.10256248820693428,0.02477051236196183,0.02458398637224589,0.047760823810347325,0.5534765782362839,0.635606407697025,0.03373709638879116,3.0400508397340835,0.06906988867246935,0.011161868336013426,0.008183038584880207,20.213916041118697,0.71
5.665755027891849,0.016068828108684513,0.12948010207330643,7885.375144662733,5262.624526285881,164028.04293849363,0.4146640328515946,0.4663375184935341,0.0260319846826213,4.973885151359438,0.058653115381060945,0.005215274504415286,6824.03021586986,9.066190924665364,1.0
